column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
CHILD_ITEM_LINE_TYPE,T,자작,자작,1084,Y,,
CHILD_ITEM_TYPE,M,무상,무상,1077,Y,,
CHILD_ITEM_TYPE,T,자작,자작,1084,Y,,
CHILD_ITEM_TYPE,Y,유상,유상,1089,Y,,
CHILD_LINE_TYPE,A,외부부품,외부부품,1065,Y,,
CHILD_LINE_TYPE,D,도입(면세),도입(면세),1068,Y,,
CHILD_LINE_TYPE,F,무상구매,무상구매,1070,Y,,
CHILD_LINE_TYPE,G,국내구매,국내구매,1071,Y,,
CHILD_LINE_TYPE,L,도입로칼,도입로칼,1076,Y,,
CHILD_LINE_TYPE,M,무상사급,무상사급,1077,Y,,
CHILD_LINE_TYPE,O,OEM,OEM,1079,Y,,
CHILD_LINE_TYPE,P,도입(과세),도입(과세),1080,Y,,
CHILD_LINE_TYPE,T,자작,자작,1084,Y,,
CHLD_LINE_TYPE,N,내부거래,내부거래,1078,Y,,
CLOSING_FLAG,N,아니오,아니오,1078,Y,,
CLOSING_FLAG,Y,예,예,1089,Y,,
COLLECT_DEFICIT,1,1입고,1입고,1,Y,,
COLLECT_DEFICIT,2,2입고반품,2입고반품,2,Y,,
COLLECT_STATUS,C,C취소,C취소,1067,Y,,
COLLECT_STATUS,N,N정상,N정상,1078,Y,,Y
COLLECT_TYPE,A,면세,면세,1065,Y,,
COLLECTION_CYCLE,C,현금,현금,1067,Y,,
COLLECTION_CYCLE,L,매월,매월,1076,Y,,
COLLECTION_CYCLE,M,15일,15일,1077,Y,,
COLLECTION_CYCLE,T,외상,외상,1084,Y,,
COLLECTION_CYCLE,Y,매년,매년,1089,Y,,
COLLECTION_TYPE,C,현금,현금,1067,Y,,
COLLECTION_TYPE,E,전자결제,전자결제,1069,Y,,
COLLECTION_TYPE,Z,수표,수표,1090,Y,,
COLUMN_FORMAT,"#,##0","#,##0","#,##0",1035,Y,,
COLUMN_FORMAT,"#,##0.00","#,##0.00","#,##0.00",1035,Y,,
COLUMN_FORMAT,"#,##0.0000","#,##0.0000","#,##0.0000",1035,Y,,
